参考汉字	参考读音	简要解释
孵小鸡	bou13 siau33ci44	老母鸡抱窝，也指人工孵化小鸡。
挖藕	'uah5 ''ngei323'	
采菱角	tshe323-23 lin13koh21	
做酒	tsou44tsei21/tsou34 tsei323	酿酒。
倒树	tau33zyu44	砍伐树木。
锄头	zyu13dei21	
榔头	laon13dei21	
犁头	li13dei21	犁的翻土的部分。
步犁	bou21li44	一种改良的畜力犁，比旧式犁耕得较宽和较深，耕时人须随犁步行。
犁刀	li13tau21	
犁柄	li13pin21	
铁抄	thih21tshau44	铁锹。
铁牵[记音]	thih21chie44	农村开沟用的工具，形状如铲子。
铁铲	thih32tshe23	种豆用的小铲子。
铁搭	thih5tah5	装有长柄的，有三到五个铁齿的翻土工具。
耙	bu13	
钉耙	tin32bu23	
柴耙头	za13bu44dei21	整理柴草、谷物的长柄农具。
连枷	lie13ka21	一种手工脱粒农具，由长手柄以及敲杆铰连而成。
洋镐	yan13kau21	铁镐。
粪勺	fen44zah21	掏粪的勺子。
斫刀	tsoh21tau44	砍柴用的刀。
镰刀	lie13tau21	
田刀	die13tau21	比锄头大的翻土松土的工具。
铴头	thaon32dei23	平田的农具。
铡刀	zah21tau44	
杈	tshou44	叉子。
稻杈	dau21tshou44	丢稻堆稻用的叉子。
箩筐	lou13khuaon21	
笆斗	pu32tei23	柳条等编成的一种容器，底为半球形，形状像斗。
藤斗	den13tei21	
大弯子	dou21ue44tseh21	大藤斗。
小弯子	siau33ue44tseh4	小藤斗。
蒲包	bou13pau21	用菖蒲叶编制而成的袋子。
米囤	mi21den44	仓库里囤谷的盛具。
米缸	mi21kaon44	
米桶	mi32don23	
芦席囤	lou13zih4den21	
脚匾	ciah32pie23	用竹篾编成的圆形容器，帮较浅。
米筛	mi21sa44	筛米的筛子。
粉筛	fen33sa44	筛粉的筛子。
草包	tshau33pau44	①用稻草做成的袋子。②比喻无用的人。
草帘子	tshau33lie44tseh4	用稻草做成的帘子，用来遮盖谷物等。
麻叉袋	mu13tshou44de21	麻袋。
蛇皮袋	za13bi44de21	红蓝白色的编织袋。
赚[记音]条	ze21diau44	用竹篾编成，围在粮囤边上，用来堆放谷物。
苗篮	miau13le21	一种较大的竹箩筐，旧时多用于采桑叶。
柴户	za13wu21	稻草索，用以捆扎田里的作物。
斛子	ghoh21tseh4	粮食量具，五斗合一斛。
斗	tei323	①粮食量具。②量词。
升箩	sen32lou23	粮食量具，为十分之一斗。
刮尺	kuah5tshah5	呈丁字形，用来刮平斛口的米。
水桶	syu33don44	
竹箕	tsoh21ci44	盛粮食用。
垃细[记音]	la21si44	垃圾。
勒塞[记音]	leh21seh4	见la si。垃圾。
磨	mou113	
牵磨	chie32mou23	
推磨	the32mou23	
丰收年	fon32shieu21nye23	
年势好	nye13syu44hau21	
年成好	nye13zen44hau21	
收成好	shieu32zen21hau23	
年势恘	nye13syu44chieu21	年成不好。
年成恘	nye13zen44chieu21	见nye syu chieu。
收成恘	shieu32zen21chieu23	见nye syu chieu。
年景	nye13cin21	
年成	nye13zen21	
大年	dou21nye44	丰年。
小年	siau33nye44	收成不好的年份。
种客田	tson34 khah21die44	外地人来本地租田种。
粮食	lian13zeh21	
杂粮	zah21lian44	
小麦	siau33mah4	
大麦	dou21mah4	
稻	dau13	
米	mi13	
小米	siau33mi44	
籼米	sie32mi23	
洋籼米	yan13sie44mi21	
粳米	kan32mi23	
香粳米	shian32kan21mi23	
糯米	nou21mi44	
血糯	shih32nou23	
珍珠米	tsen32tsyu21mi23	玉米。
玉米	nyoh21mi44	见tsen tsyu mi。
糠	khaon44	
稻竖头	dau21zyu44dei21	稻穗。
麦竖头	mah21zyu44dei21	麦穗。
麦柴	mah21za44	麦秸秆。
稻柴	dau21za44	稻秸秆。
稻柴窠	dau32za21khou23	①稻柴做的窝。②形容头发乱如稻草窝。
乱柴	loe21za44	没有捆扎的柴。
稗草	pa44tshau21	形如稻子的草。
稗子	pa44tseh21	稗草的籽。
棉花	mie13hu21	
棉桃	mie13dau21	
蓖麻子	pi44mu44tsy21	
芝麻	tsyu32mu23	
黑芝麻	heh32tsyu21mu23	
白芝麻	bah21tsyu44mu21	
毛豆	mau13dei21	
黄豆	waon13dei21	
绿豆	loh32dei23	
赤豆	tshah32dei23	
红赤豆	ghon13tshah4dei21	
豌豆	ghoe13dei21	
豌豆叶	ghoe13dei44yih21	
长豆	zan13dei21	豇豆，豆角。
扁豆	pie33dei44	
四季豆	sy44ci44dei21	
蚕豆	zoe13dei21	
青蚕豆	tshin32zoe21dei23	刚上市的新鲜的蚕豆。
黑豆	heh32dei23	子实表皮黑色的大豆。
豆结	dei21cih4	豆荚。
豆结结头	dei21cih4cih4dei21	见dei cih。豆荚。
山芋	se32yu23	红薯。
红心山芋	ghon13sin44se44yu21	肉质为黄色的山芋。
糯性山芋	nou21sin44se44yu21	肉质为白色的山芋。
白心山芋	bah21sin44se44yu21	
粳性山芋	kan32sin21se21yu23	
大栗山芋	dou21lih4se44yu21	
洋芋头	yan13yu44dei21	土豆。
芋头	yu21dei44	
慈菇	zy13ku21	
山药	se32yah23	薯蓣。
藕	ngei13	
莲蓬头	lie13bon44dei21	①莲蓬。②淋浴用的喷头。
莲蓬子	lie13bon44tsy21	莲子。
莲心	lie13sin21	见lie bon tsy。莲心。
茄子	jia13tseh21	
黄瓜	waon13ku21	
菜瓜	tshe44ku21	蛇甜瓜。
丝瓜	sy32ku23	
笋瓜	sen33ku44	
苦瓜	khu33ku44	
南瓜	noe13ku21	一年草本植物，果实呈椭圆或扁圆形，成熟后呈深黄色。
北瓜	poh21ku44	笋瓜。
葫芦	wu13lou21	
葱	tshon44	
香葱	shian32tshon23	见tshon。
洋葱头	yan13tshon44dei21	
洋葱	yan13tshon21	
大蒜	da21soe44	
大蒜叶	da21soe44yih21	
蒜苗	soe44miau21	
生姜	san32cian23	
老姜	lau21cian44	
嫩姜	nen21cian44	
辣椒	lah21tsiau44	
菜椒	tshe44tsiau21	
朝天辣椒	zau13thie44lah4tsiau21	
韭菜	cieu33tshe44	
韭芽	cieu33nga44	
韭菜花	cieu33tshe44hu44	
韭黄	cieu33waon44	
苋菜	shie44tshe21	
红苋菜	ghon13shie44tshe21	紫红色菜叶的苋菜。
番茄	fe32ga23	西红柿。
芥菜	ka44tshe21	
大头菜	dou21dei44tshe21	
青菜	tshin32tshe23	
细菜	si44tshe21	幼嫩的青菜。
鸡毛菜	ci32mau21tshe23	
白菜	bah32tshe23	大白菜。
卷心菜	cioe33sin44tshe44	
包菜	pau32tshe23	见cioe sin tshe。
菠菜	pou32tshe23	
莴苣	u32jiu23	
芹菜	jin13tshe21	
药芹	yah21jin44	
水芹	syu33jin44	
香菜	shian32tshe23	
芫荽	yoe13syu21	见shian tshe。香菜。
芫荽	nyoe13syu21	见shian tshe。香菜。
蕹菜	on44tshe21	空心菜。
空心菜	khon32sin21tshe23	见on tshe。
宝塔菜	pau33thah4tshe44	即甘露子。
花菜	hu32tshe23	
蓬蒿菜	bon13hau44tshe21	茼蒿。
雪里蕻	sih32li21ghon23	
萝卜	lau13boh21	
胡萝卜	wu13lau44boh	
茭白	kau32bah23	
荠菜	zi32tshe23	
野荠菜	ya32ji21tshe23	
野荠菜	ya32zi21tshe23	
马兰	mu21le44	多年生草本植物。嫩叶可做食用，称“马兰头”，江南地区常用做蔬菜，多清炒或凉拌。
金花菜	cin32hu21tshe23	苜蔌。
金茎菜	cin32cin21tshe23	黄花菜。
黄豆芽	waon13dei44nga21	
绿豆芽	loh21dei44nga21	
菱角	lin13koh21	
四角菱	sy44koh4lin21	有四个硬角的菱。
两角菱	lian32koh21lin23	有两个硬角的菱。
乌菱	u32lin23	见lian koh lin。
元宝菱	nyoe13pau44lin21	没有硬角的菱，形状像元宝。
树林	zyu21lin44	
树苗	zyu21miau44	
树干	zyu21koe44	
年轮	nye13len21	
树根	zyu21ken44	
树叶子	zyu21yih44tseh21	
叶叶头	yih32yih21dei23	叶子。
树枝	zyu21tsyu44	
树桠枝	zyu21u44tsyu21	见zyu tsyu。
梢梢头	sau32sau21dei23	树梢。
树皮	zyu21bi44	
木头	moh21dei44	
种树	tson44zyu21/tson34 zyu213	
修树	sei44 zyu213	
砍树	khe33zyu44/khe323-23 zyu213	
花瓣	hu32pe23	
花心	hu32sin32	
花苞苞	hu32pau21pau23	花苞。
种花	tson44hu21/tson34 hu44	
浇花	ciau32hu23/ciau44 hu44	
拔草	bah32tshau23/bah13 tshau323	
果树	kou33zyu44	
水果	syu33kou44	
松树	son32zyu23	
松子	son32tsy23	
松果	son32kou23	
松针	son32tsen23	
雪松	sih21son44	
塔松	thah21son44	
金钱松	cin32zie21son23	
杉木	se32moh23	
柏树	pah32zyu23	
香椿树	shian32tshen21zyu23	
臭椿树	chieu44tshen44zyu21	
香樟树	shian32tsan21zyu23	倷伲无锡个市树是~。
榆树	yu13zyu21	
桑树	saon32zyu23	
桑叶	saon32yih23	
桑子	saon32tsy23	桑葚。
杨树	yan13zyu21	
白杨	bah21yan44	
杨柳树	yan13lei44zyu21	
杨柳枝	yan13lei44tsyu21	
杨花	yan13hu21	
槐树	wa13zyu21	
栎树	lih32zyu23	
梧桐树	ng13don44zyu21	
梧桐籽籽	ng13don44tsy44tsy21	
法国梧桐	fah5kueh5ng55don55	
泡桐	phau44don21	
榉树	ciu33zyu44	
枫树	fon32zyu23	
枫叶	fon32yih23	
朴树	phoh32zyu23	
茶树	zou13zyu21	
银杏树	nyin13ghan44zyu21	
白眼果果	bah32nge21kou21kou23	银杏。
栗书	lih21zyu44	
紫藤	tsy33den44	
竹头	tsoh21dei44	竹子。
刚竹	kaon32tsoh23	
毛竹	mau13tsoh21	
观音竹	koe32in21tsoh23	凤尾竹，为盆栽观赏作物。
湘妃竹	shian32fi21tsoh23	一种中小型竹，普通话又称“斑竹”。
节疤	tsih21pu44	植物各节段间相连接的地方。
文竹	ven13tsoh21	普通话也可称云片竹、刺天冬、云竹，为多年生常绿藤本观叶植物，著名的观赏植物。
笋	sen323	
冬笋	ton32sen23	
春笋	tshen32sen23	
笋壳	sen33khoh4	
笋尖	sen33tsie44	
笋头	sen33dei44	
笋干	sen33koe44	
扁尖	pie33tsie44	嫩的，放盐腌制过的晒干后的笋。
桃树	dau13zyu21	
桃子	dau13tseh21	
水蜜桃	syu33mih4dau44	
阳山水蜜桃	yan13se21 syu33mih4dau44	
蟠桃	boe13dau21	
李树	li21zyu44	
李子	li21tsy44	
梅子	me13tseh21	
雅[记音]犁	ia44li21	犁。
砀山犁	daon13se44li21	
樱桃树	an32dau21zyu32	
樱桃树	in32dau21zyu23	
樱桃	an32dau23	
樱桃	in32dau23	
枇杷树	bih21bu44zyu21	
枇杷	bih21bu44	
杨梅	yan13me21	
柿子	zy21tseh4	
柿饼	zy21pin44	
石榴	zah21lei44	
文旦	ven21te44	柚子。
橘子	ciuih5tseh5	
橙子	zen21tseh4	
荔枝	li21tsyu44	
芦柑	lou13koe21	
苹果	bin13kou21	
香蕉	shian32tsiau23	
葡萄	beh21dau44	
葡萄干	beh21dau44koe21	
橄榄	ke33le44	
青橄榄	tshin32ke21le23	
核	weh13	果实中坚硬并包裹果仁的部分。
核核头	weh32weh21dei23	见weh。
大栗	dou21lih4	栗子。
枣子	tsau33tseh4	
西瓜	si32ku23	
香瓜	shian32ku23	
瓜子	ku32tsy23	
南瓜子	noe13ku44tsy21	
西瓜子	si32ku21tsy23	
胡桃	wu13dau21	核桃。
蒲桃	bou13dau21	见wu dau。核桃。
小蒲桃	siau33bou44dau44	小核桃。
胡桃肉	wu13dau44nyoh21	
蒲桃肉	bou13dau44nyoh21	
兰花豆	le13hu44dei21	
长生果	zan13sen44kou21	花生。
花生	hu32sen23	
荸荠	beh21zi44	
甘蔗	koe32tsa23	
田螺粟	die13lou44soh21	高粱的一个品种，茎可以生吃或制糖。
牡丹	mau21te44	
芍药	zah21yah4	
玫瑰花	me13kue44hu21	
月季花	yuih21ci44hu21	
月季	yuih21ci44	
海棠	he33daon44	
桂花	kue44hu21	
木犀花	moh21shi44hu21	桂花。
金桂	cin32kue23	
银桂	nyin13kue21	
桃花	dau13hu21	
夹竹桃	kah5tsoh5dau55	
金银花	cin32nyin21hu23	
迎春花	nyin13tshen44hu21	
梅花	me13hu21	
腊梅花	lah21me44hu21	
腊梅	lah21me44	
夜饭花	ya21ve44hu21	夜来香。
夜来香	ya21le44shian21	见ya ve hu。
兰花	le13hu21	
米兰	mi21le44	
吊兰	tiau44le21	
菊花	cioh21hu44	
玉兰花	nyoh21le44hu21	
凤仙花	von21sie44hu21	
鸡冠花	ci32koe21hu23	
山茶花	sa32zou21hu23	
石榴花	zah21lei44hu21	
栀子花	tsyu32tsy21hu23	见tsyu tsyu hu。
栀珠花	tsyu32tsyu21hu23	栀子花。
茉莉花	meh21li44hu21	
樱花	in32hu23	
荷花	ghou13hu21	
牵牛花	chie32nyeu21hu23	
喇叭花	la21pa44hu21	
白兰花	bah21le44hu21	
水仙花	syu33sie44hu44	
百合花	pah5gheh5hu55	
杜鹃	dou21cioe44	
太阳花	tha44yan44hu21	
蝴蝶花	wu13dih4hu21	
昙花	de13hu21	
万年青	ve21nye44tshin21	
仙人掌	sie32nyin21tsan23	
仙人球	sie32nyin21jieu23	
狗尾巴草	kei33mi44pu44tshau44	
荷花郎	ghou13hu44laon21	紫云英。
鹅肠肠草	ngou13zan44zan44tshau21	繁缕。
五呆头草	ng21nge44dei44tshau21	泽漆。
芦苇	lou13ue21	
水葫芦	syu33wu44lou44	
蒲公英	phou33kon44in44	
蘑菇	mou13ku21	
香菇	shian32ku23	
平菇	bin13ku21	
木耳	moh21r44	
黑木耳	heh5moh5r55	
白木耳	bah21moh4r21	
香蕈	shian32zin23	香菇。
青泥苔	tshin32nyi21de23	青苔。
众牲	tson32san23	①牲口。②骂人的话。
畜生	tshoh21san44	见tson san。
马	mu13	
雄马	yon13mu21	
雌马	tshy32mu23	
小马	siau33mu44	
马脚	mu21ciah4	马蹄。
马蹄	mu21di44	见mu ciah。
牛	nyeu113	
雄牛	yon13nyeu21	
雌牛	tshy32nyeu23	
黄牛	waon13nyeu21	
水牛	syu33nyeu44	
奶牛	na21nyeu44	
小牛	siau33nyeu44	
牛角	nyeu13koh21	
牛鞭	nyeu13pie21	
驐牛	ten32nyeu23	被阉割过的公牛。
驴	li113	
骡子	lou13tseh21	
骆驼	loh21dou44	
山羊	se32yan23	
绵羊	mie13yan21	
胡羊	wu13yan21	
羊娒娒	yan13me44me21	羊，儿语。
小羊	siau33yan44	
狗	kei323	
雌狗	tshy32kei23	
雄狗	yon13kei21	
小狗	siau33kei44	
狼狗	laon13kei21	
草狗	tshau33kei44	
疯狗	fon32kei23	
癞皮狗	la21bi44kei21	
狮子狗	sy32tseh21kei23	
哈巴狗	ha32pa21kei23	
野狗	ya21kei44	
看门狗	khoe32men21kei23	
军犬	ciuin32chioe23	
警犬	cin33chioe44	
猫	'''mau44'	
猫咪	mau44mi21	'见''mau。'
波斯猫	pou32sy21mau23	
雄猫	yon13mau21	
雌猫	tshy32mau23	
狸猫	li13mau21	
野猫	ya21mau44	
小猫	siau33mau44	
猫发	mau13fah21	猫夜里发情。
猪	tsyu44	
猪猡	tsyu32lou23	见tsyu。猪。
猪猡猡	tsyu32lou21lou23	见tsyu。儿语，猪。
雄猪	yon13tsyu21	
老猪婆	lau21tsyu44bou21	老母猪。
小猪	siau33tsyu44	
猪毛	tsyu32mau23	
猪皮	tsyu32bi23	
驐猪	ten32tsyu23	被阉割过的公猪。
鸡	ci44	
鸡咕咕	ci32ku21ku23	鸡，儿语。
雄鸡	yon13ci21	
雌鸡	tshy32ci23	
小鸡	siau33ci44	
童子鸡	don21tsy44ci21	
草鸡	tshau33ci44	
太湖鸡	tha44wu44ci21	
三黄鸡	se32waon21ci23	
三元鸡	se32nyoe21ci23	
乌骨鸡	u32kueh21ci23	
肉鸡	nyoh21ci44	
麻鸡	mu13ci21	
罗氏鸡	lou13zy44ci21	
洋鸡	yan13ci21	
生蛋	san44 de213	
老孵鸡	lau21bou44ci21	
老母鸡	lau21mou44ci21	见lau bou ci。
鸡蛋	ci32de23	
鸡冠头	ci32koe21dei23	鸡冠。
驐鸡	ten32ci23	被阉割过的雄鸡。
鸭	ah5	
鸭里里	ah32li21li23	鸭子。
鸭连连	ah32lie21lie23	鸭子。
雄鸭	yon13ah21	
雌鸭	tshy32ah23	
小鸭里里	siau33ah4li44li44	小鸭子。
小鸭连连	siau33ah4lie44lie44	小鸭子。
北京鸭	poh21cin44ah21	
槽里头鸭	zau13li44dei44ah21	一种体型较小的土鸭。
红头鸭	ghon13dei44ah21	
鸭蛋	ah32de23	
鹅	ngou113	
高头	kau32dei23	见ngou。鹅。
白乌龟	bah21u44kue21	见ngou。鹅。
白乌龟	bah21u44ciu21	见ngou。鹅。
狮子	sy32tseh23	
老虎	lau32hu23	
雌老虎	tshy32lau21hu23	母老虎，也指比较凶的女人。
大象	da21zian44	
狼	laon113	
活[记音]狲	weh21sen44	猴子。
熊	yon113	
熊猫	yon13mau21	
鹿	loh13	
梅花鹿	me13hu44loh21	
豹	pau34	
金钱豹	cin32zie21pau23	
山猫	se32mau23	
狐狸	wu13li21	
黄鼠狼	waon13tshyu44laon21	
兔子	thou44tseh21	
长毛兔	zan13mau44thou21	
野兔子	ya21thou44tseh21	
松鼠	son32tshyu23	
老虫	lau21zon44	老鼠。
水老虫	syu33lau44zon44	水老鼠。
野猪	ya21tsyu44	
蛇虫百脚	za13zon44pah44ciah21	蛇虫之类的总称。
蛇	za113	
蟒蛇	ma21za44	
毒蛇	doh21za44	
火赤练	hou33tsheh4lie44	赤练蛇。
托灰蛇	thoh21hue44za21	蝮蛇。
水蛇	syu33za44	
青梢蛇	tshin32sau21za23	一种色青无毒的蛇。
鸟	tiau323	
鸟窠	tiau33khou44	
喜鹊	shi33tshiah4	
麻雀子	mu13tshiah4tseh21	
麻雀	mu13tsiah4tseh21	
鸽子	keh5tseh5	
白鸽子	bah21keh4tseh21	
鹌鹑鸟	oe32zen21tiau23	
郭六[记音]子	koh5loh5tseh5	猫头鹰，“郭六”为象声词，拟猫头鹰的叫声。
鹦鹉	in32vu23	
画眉	wu21me44	
虎皮鹦鹉	hu33bi44in44vu44	
八哥	pah21kou44	
天鹅	thie32ngou23	
老鹰	lau21in44	
鸳鸯	ioe32yan23	
白头翁	bah21dei44on21	
孔雀	khon33tsiah4	
孔雀	khon33tshiah4	
水老鸦	syu33lau44ah4	
蝙蝠子	pie32foh21tseh23	
尾巴	mi21pu44	
虫	zon113	
蚕宝宝	zoe13pau44pau21	
蚕子	zoe13tsy21	
蛹	yon13	蚕蛹。
结茧子	cih5 cie33tseh4	
蚕蛾	zoe13ngou21	
蚕蛾子	zoe13ngou44tseh21	
蜘蛛	tsyu32tsyu23	
喜蛛	shi33tsyu44	
蚂米[记音]	mu32mi23	蚂蚁。
白蚂米	bah32m21mi23	
油葫芦	yeu13wu44lou21	
蛐蟮	chioh32zoe23	蚯蚓。
蜗牛	ou32nyeu23	
百脚	pah5ciah5	蜈蚣。
壁虎	pih32hu23	
毛毛虫	mau13mau44zon21	
蛓毛虫	tshy44mau44zon21	①一种书上的有刺的毛虫。《广韵》去声志韵七吏切：“蛓，蛓毛虫有毒。”②指人脾气坏，容易发怒，不好亲近：你哪像个~撒，说勿得，碰勿得。
蛓毛	tshy44mau21	见tshy mau zon。
蚜虫	nga13zon21	
蛀虫	tsyu44zon21	
米蛀虫	mi21tsyu44zon21	
青虫	tshin32zon23	
苍蝇	tshaon32yin23	
呒头苍蝇	m13dei44tshaon44yin21	没头苍蝇。
蛆	tshi44	
蚊子	men13tseh21	
花脚蚊子	hu32ciah21men21tseh23	指有毒的大蚊子。
水蛆	syu33tshi44	
打拳蛆	tan33jioe44tshi44	孑孓。
老白虱	lau21bah4seh21	人身上的虱子。
鸡虱	ci32seh23	
猫虱	mau13seh21	
狗虱	kei33seh4	
牛虱	nyeu13seh21	
壁虱	pih5seh5	臭虫。
臭虫	chieu44zon21	见pih seh。
弹蝍	de21tsih4	蟋蟀。
才蝍	ze21tsih4	蟋蟀。
棺材袋	koe32ze21de23	一种扁头蟋蟀。
三刺	se32tshy23	雌蟋蟀，因其除两尾之外还有一个长长的产卵器，故名。
蝗虫	waon13zon21	
螳螂	daon13laon21	
竹蜢	tsoh32man23	蚱蜢。
青竹管	tshin32tsoh21koe23	绿色蚱蜢。
大蜢虫	dou21man44zon21	大蚱蜢。
小蜢虫	siau33man44zon21	小蚱蜢。
拜脆道士	pa44tshe44dau44zy21	一种大蚱蜢。
纺织婆	faon33tseh4bou44	纺织娘。
金铃子	cin44lin44tseh21	唧蛉子。
叫哥哥	ciau44kou44kou21	蝈蝈。
蜻蜓	tshin32din23	
蝴蝶子	wu13dih4tseh21	
蠓痴子	mon13tshyu44tseh21	蠛蠓之类的小飞虫。
西瓜虫	si32ku21zon23	
坦克虫	the33kheh4zon44	瓢虫。
天牛	thie32nyeu23	
放屁虫	faon44phi44zon21	
游火虫	yeu13hou44zon21	萤火虫。
金虫	cin32zon23	金龟子。
蜜蜂	mih21fon44	
胡蜂	wu13fon21	
叮人	tin44 nyin113	胡蜂~。
咬人	ngau21nyin44/ngau13 nyin113	胡蜂~。
知了	tsyu44liau21	
蜒蚰	ye13yeu21	蛞蝓。
地鳖虫	di21pih4zon21	生活在灶前的一种昆虫，可做药用。
洋牛	yan13nyeu21	天牛。
红虫	ghon13zon21	水蚤。
鲤鱼	li21ng44	
鯶子	wen21tseh4	草鱼。
草鱼	tshau33ng44	见wen tseh。
青鱼	tshin32ng23	
鲢鱼	lie13ng21	
花鲢	hu32lie23	即鳙鱼。
白鲢	bah21lie44	
鲫鱼	tsin33ng44	
刀鱼	tau32ng23	
白鱼	bah21ng44	
银鱼	nyin13ng21	
穿条鱼	tshoe32diau21ng23	
河豚	ghou13den21	
黑鱼	heh21ng44	
鲇鱼	nye13ng21	
鳜鱼	kue44ng21	
鳊鱼	pie33ng44	
盎公鱼	an32kon21ng23	黄颡鱼。
昌鳊鱼	tshan32pie21ng23	
鳑魮鱼	baon13bi44ng21	
黄鱼	waon13ng21	
小黄鱼	siau33waon44ng44	
带鱼	ta44ng21	
鲥鱼	zy13ng21	
乌贼鱼	u32zeh21ng23	
鱿鱼	yeu13ng21	
鳗鲡	moe13li21	鳗鱼。
锦鲤	cin33li44	
金鱼	cin32ng23	
热带鱼	nyih32ta21ng23	
小猫鱼	siau33mau44ng44	很小的用作饲料的鱼。
鱼秧	ng13ian21	
颌腮	keh21se44	鱼鳃。
豁水	huah32syu23	鱼尾巴。
鱼鳞爿	ng13lin44be21	鱼鳞。
鱼脬脬	ng13phau44phau21	鱼漂。
钓鱼	tiau44ng21	
钓鱼竿	tiau44ng44koe21	
浮子	vei13tseh21	
钩子	kei32tseh23	
渔网	ng13maon21	
鱼篓	ng13lou21	
鱼篓	ng13lei21	
晒网	sa34 maon13	
撒网	sa323-23 maon13	
虾	hu44	
沼虾	tsau33hu44	青虾。
